paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
10.1007/11926078_12,semweb,ISWC,International Semantic Web Conference,"Athens, GA",USA,4,Ryan,Lee,,,,,,(World Wide Web Consortium),Fresnel: A Browser-Independent Presentation Vocabulary for RDF,10.1007/11926078,The Semantic Web - ISWC 2006,"5th International Semantic Web Conference, ISWC 2006, Athens, GA, USA, November 5-9, 2006, Proceedings",OpenAccess,2006-01-01
10.1007/978-3-540-39718-2_52,semweb,ISWC,International Semantic Web Conference,"Sanibel, FL",USA,1,Zavisa,Bjelogrlic,,,,,,@Semantics. S.R.L.,Making Business Sense of the Semantic Web,10.1007/b14287,The Semantic Web - ISWC 2003,"Second International Semantic Web Conference, Sanibel Island, FL, USA, October 20-23, 2003, Proceedings",OpenAccess,2003-01-01
10.1007/978-3-540-39718-2_52,semweb,ISWC,International Semantic Web Conference,"Sanibel, FL",USA,3,Alberto,Reggiori,,,,,,@Semantics. S.R.L.,Making Business Sense of the Semantic Web,10.1007/b14287,The Semantic Web - ISWC 2003,"Second International Semantic Web Conference, Sanibel Island, FL, USA, October 20-23, 2003, Proceedings",OpenAccess,2003-01-01
10.1007/978-3-642-35176-1_13,semweb,ISWC,International Semantic Web Conference,"Boston, MA",USA,3,Shonali,Krishnaswamy,grid.185448.4,"Agency for Science, Technology and Research",Singapore,Singapore,SG,A*STAR,Predicting Reasoning Performance Using Ontology Metrics,10.1007/978-3-642-35176-1,The Semantic Web -- ISWC 2012,"11th International Semantic Web Conference, Boston, MA, USA, November 11-15, 2012, Proceedings, Part I",Restricted,2012-01-01
10.1007/978-3-319-25007-6_19,semweb,ISWC,International Semantic Web Conference,,,2,Shonali,Krishnaswamy,grid.185448.4,"Agency for Science, Technology and Research",Singapore,Singapore,SG,A*STAR,R$$_2$$O$$_2$$: An Efficient Ranking-Based Reasoner for OWL Ontologies,10.1007/978-3-319-25007-6,The Semantic Web - ISWC 2015,"14th International Semantic Web Conference, Bethlehem, PA, USA, October 11-15, 2015, Proceedings, Part I",Restricted,2015-01-01
10.1007/978-3-319-46523-4_21,semweb,ISWC,International Semantic Web Conference,Kobe,Japan,1,Dilshod,Ibragimov,grid.5117.2,Aalborg University,Aalborg,Denmark,DK,Aalborg University,Optimizing Aggregate SPARQL Queries Using Materialized RDF Views,10.1007/978-3-319-46523-4,The Semantic Web ? ISWC 2016,"15th International Semantic Web Conference, Kobe, Japan, October 17?21, 2016, Proceedings, Part I",Restricted,2016-01-01
10.1007/978-3-319-46523-4_21,semweb,ISWC,International Semantic Web Conference,Kobe,Japan,2,Katja,Hose,grid.5117.2,Aalborg University,Aalborg,Denmark,DK,Aalborg University,Optimizing Aggregate SPARQL Queries Using Materialized RDF Views,10.1007/978-3-319-46523-4,The Semantic Web ? ISWC 2016,"15th International Semantic Web Conference, Kobe, Japan, October 17?21, 2016, Proceedings, Part I",Restricted,2016-01-01
10.1007/978-3-319-46523-4_21,semweb,ISWC,International Semantic Web Conference,Kobe,Japan,3,Torben Bach,Pedersen,grid.5117.2,Aalborg University,Aalborg,Denmark,DK,Aalborg University,Optimizing Aggregate SPARQL Queries Using Materialized RDF Views,10.1007/978-3-319-46523-4,The Semantic Web ? ISWC 2016,"15th International Semantic Web Conference, Kobe, Japan, October 17?21, 2016, Proceedings, Part I",Restricted,2016-01-01
10.1007/978-3-642-35173-0_38,semweb,ISWC,International Semantic Web Conference,"Boston, MA",USA,1,Mikko,Rinne,grid.5373.2,Aalto University,Helsinki,Finland,FI,Aalto University,SPARQL Update for Complex Event Processing,10.1007/978-3-642-35173-0,The Semantic Web -- ISWC 2012,"11th International Semantic Web Conference, Boston, MA, USA, November 11-15, 2012, Proceedings, Part II",Restricted,2012-01-01
10.1007/978-3-642-25093-4_12,semweb,ISWC,International Semantic Web Conference,Bonn,Germany,1,Eetu,Mäkelä,grid.5373.2,Aalto University,Helsinki,Finland,FI,Aalto University and University of Helsinki,BookSampo—Lessons Learned in Creating a Semantic Portal for Fiction Literature,10.1007/978-3-642-25093-4,The Semantic Web -- ISWC 2011,"10th International Semantic Web Conference, Bonn, Germany, October 23-27, 2011, Proceedings, Part II",OpenAccess,2011-01-01
10.1007/978-3-642-25093-4_12,semweb,ISWC,International Semantic Web Conference,Bonn,Germany,3,Eero,Hyvönen,grid.5373.2,Aalto University,Helsinki,Finland,FI,Aalto University and University of Helsinki,BookSampo—Lessons Learned in Creating a Semantic Portal for Fiction Literature,10.1007/978-3-642-25093-4,The Semantic Web -- ISWC 2011,"10th International Semantic Web Conference, Bonn, Germany, October 23-27, 2011, Proceedings, Part II",OpenAccess,2011-01-01
10.1007/978-3-540-88564-1_48,semweb,ISWC,International Semantic Web Conference,Karlsruhe,Germany,1,Kunal,Verma,,,,,,Accenture Technology Labs,Requirements Analysis Tool: A Tool for Automatically Analyzing Software Requirements Documents,10.1007/978-3-540-88564-1,The Semantic Web - ISWC 2008,"7th International Semantic Web Conference, ISWC 2008, Karlsruhe, Germany, October 26-30, 2008, Proceedings",OpenAccess,2008-01-01
10.1007/978-3-540-88564-1_48,semweb,ISWC,International Semantic Web Conference,Karlsruhe,Germany,2,Alex,Kass,,,,,,Accenture Technology Labs,Requirements Analysis Tool: A Tool for Automatically Analyzing Software Requirements Documents,10.1007/978-3-540-88564-1,The Semantic Web - ISWC 2008,"7th International Semantic Web Conference, ISWC 2008, Karlsruhe, Germany, October 26-30, 2008, Proceedings",OpenAccess,2008-01-01
10.1007/978-3-642-17746-0_26,semweb,ISWC,International Semantic Web Conference,Shanghai,China,4,Kunal,Verma,,,,,,Accenture Technology Labs,Ontology Alignment for Linked Open Data,10.1007/978-3-642-17746-0,The Semantic Web - ISWC 2010,"9th International Semantic Web Conference, ISWC 2010, Shanghai, China, November 7-11, 2010, Revised Selected Papers, Part I",OpenAccess,2010-01-01
