paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
10.1007/978-3-540-68234-9_31,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,6,Claus,Zinn,,,,,, ,"Putting Ontology Alignment in Context: Usage Scenarios, Deployment and Evaluation in a Library Case",10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,2,Arne,Berre,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,3,Luis,Costa,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,4,Philippe,Duchesne,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,6,Miha,Grcar,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,9,Joel,Langlois,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,10,Andreas,Limyr,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,14,Francois,Tertre,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_55,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,17,Nicolas,Zastavni,,,,,, ,SWING: An Integrated Environment for Geospatial Semantic Web Services,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-319-25639-9_10,esws,ESWC,International Semantic Web Conference,Portoro?,Slovenia,1,Giorgos,Giannopoulos,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,ATHENA Research Center,FAGI-gis: A Tool for Fusing Geospatial RDF Data,10.1007/978-3-319-25639-9,The Semantic Web: ESWC 2015 Satellite Events,"ESWC 2015 Satellite Events, Portoro?, Slovenia, May 31 ? June 4, 2015, Revised Selected Papers",Restricted,2015-01-01
