paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
10.1007/978-3-319-43997-6_19,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Hannover,Germany,1,Leonidas,Papachristopoulos,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,‘Athena’ Research Centre,The “Nomenclature of Multidimensionality” in the Digital Libraries Evaluation Domain,10.1007/978-3-319-43997-6,Research and Advanced Technology for Digital Libraries,"20th International Conference on Theory and Practice of Digital Libraries, TPDL 2016, Hannover, Germany, September 5?9, 2016, Proceedings",Restricted,2016-01-01
10.1007/978-3-319-43997-6_19,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Hannover,Germany,5,Christos,Papatheodorou,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,‘Athena’ Research Centre,The “Nomenclature of Multidimensionality” in the Digital Libraries Evaluation Domain,10.1007/978-3-319-43997-6,Research and Advanced Technology for Digital Libraries,"20th International Conference on Theory and Practice of Digital Libraries, TPDL 2016, Hannover, Germany, September 5?9, 2016, Proceedings",Restricted,2016-01-01
10.1007/978-3-642-40501-3_27,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,1,Giorgos,Giannopoulos,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,Personalizing Keyword Search on RDF Data,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-40501-3_49,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,1,Nikos,Bikakis,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,RDivF: Diversifying Keyword Search on RDF Graphs,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-40501-3_49,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,2,Giorgos,Giannopoulos,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,RDivF: Diversifying Keyword Search on RDF Graphs,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-40501-3_49,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,3,John,Liagouris,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,RDivF: Diversifying Keyword Search on RDF Graphs,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-40501-3_49,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,4,Dimitrios,Skoutas,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,RDivF: Diversifying Keyword Search on RDF Graphs,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-40501-3_49,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Valletta,Malta,5,Theodore,Dalamagas,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,RDivF: Diversifying Keyword Search on RDF Graphs,10.1007/978-3-642-40501-3,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL 2013, Valletta, Malta, September 22-26, 2013, Proceedings",Restricted,2013-01-01
10.1007/978-3-642-24469-8_10,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Berlin,Germany,3,Christos,Papatheodorou,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,Assessing Use Intention and Usability of Mobile Devices in a Hybrid Environment,10.1007/978-3-642-24469-8,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL, Berlin, Germany, September 26-28, 2011, Proceedings",Restricted,2011-01-01
10.1007/978-3-642-24469-8_33,ercimdl,TPDL,International Conference on Theory and Practice of Digital Libraries,Berlin,Germany,1,Giorgos,Giannopoulos,grid.19843.37,Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Marousi,Greece,GR,“Athena” Research Center,Search Behavior-Driven Training for Result Re-Ranking,10.1007/978-3-642-24469-8,Research and Advanced Technology for Digital Libraries,"International Conference on Theory and Practice of Digital Libraries, TPDL, Berlin, Germany, September 26-28, 2011, Proceedings",Restricted,2011-01-01
